id,title,price,base_price,original_price,initial_quantity,buying_mode,listing_type_id,condition,accepts_mercadopago,shipping_mode,local_pick_up,free_shipping,logistic_type,store_pick_up,city_name,state_name,country_name,status,warranty,date_created,last_updated,health
MLA1454231967,Apple Tv A1625 Muy Buen Estado,249000,249000,,1,buy_it_now,gold_special,used,True,me2,False,False,drop_off,False,BUENOS AIRES,Capital Federal,Argentina,active,Sin garantía,2024-10-08T00:08:05.798Z,2024-10-09T15:21:25.531Z,0.62
MLA1438371634,Amazon Fire Tv Stick De Voz 3ra Gen Full Hd 8gb Negro Con 1gb De Ram,86799,86799,,73,buy_it_now,gold_pro,new,True,me2,True,True,xd_drop_off,False,San Cristobal,Capital Federal,Argentina,active,Garantía del vendedor: 6 meses,2023-06-26T16:29:01.000Z,2024-10-12T15:23:12.253Z,
MLA1414122791, Apple Tv A1427 Negro - 1080p Full Hd,180000,180000,,1,buy_it_now,gold_pro,used,True,me2,False,False,xd_drop_off,False,General Pacheco,Buenos Aires,Argentina,active,Sin garantía,2024-03-12T15:35:38.000Z,2024-10-10T11:51:39.956Z,0.75
MLA1452498123,Google Home Mini Asistente Virtual Coral 110/220 Refabricado,64990,64990,,1,buy_it_now,gold_special,new,True,me2,False,True,cross_docking,False,Paternal,Capital Federal,Argentina,active,Garantía del vendedor: 3 meses,2024-09-27T16:38:08.213Z,2024-09-27T16:56:41.278Z,0.77
MLA1403353954,Amazon Fire Tv Stick 4k 8gb Negro Con 1.5gb De Memoria Ram,78800,78800,,49,buy_it_now,gold_special,new,True,me2,True,True,xd_drop_off,False,San Cristobal,Capital Federal,Argentina,active,Garantía del vendedor: 6 meses,2023-04-24T14:17:46.000Z,2024-10-15T00:28:19.044Z,0.9
MLA1443682603,Apple Tv 2ª Generaciónhd 8gb Negro Con 256mb De Memoria Ram,60000,60000,,2,buy_it_now,gold_special,used,True,me2,False,False,xd_drop_off,False,Villa Luro,Capital Federal,Argentina,active,Sin garantía,2024-08-15T22:33:28.020Z,2024-10-10T03:45:05.137Z,0.62
MLA1932593850,Control De Voz Xiaomi Mi Tv Stick Full Hd De 8 Gb Y 1 Gb De Ram,107099,107099,,8,buy_it_now,gold_pro,new,True,me2,True,True,cross_docking,False,Recoleta,Capital Federal,Argentina,active,Garantía del vendedor: 6 meses,2024-10-10T18:24:40.463Z,2024-10-15T19:36:49.718Z,
MLA1452431101,Tv Box Android Streaming 4k 8gb Ram 128gb Rom Wifi Usb Hdmi Color Negro,65000,65000,,36,buy_it_now,gold_special,new,True,me2,False,True,drop_off,False,Posadas,Misiones,Argentina,active,Garantía del vendedor: 6 meses,2024-09-27T20:10:07.253Z,2024-10-16T11:04:51.112Z,
MLA1751007286,Amazon Fire Tv Stick 4k Streaming 2° Gen Con Alexa ,103900,103900,,22,buy_it_now,gold_special,new,True,me2,False,True,fulfillment,False,Bernal,Buenos Aires,Argentina,active,Garantía del vendedor: 30 días,2024-04-24T20:29:53.000Z,2024-10-14T14:13:25.241Z,0.88
MLA1447094689,Amazon Fire Tv Stick 4k 2023 Wifi 6 2gb De Ram Con Alexa Color Negro,117990,117990,,12,buy_it_now,gold_pro,new,True,me2,True,True,xd_drop_off,False,Recoleta,Capital Federal,Argentina,active,Garantía del vendedor: 30 días,2024-08-31T19:15:58.508Z,2024-10-16T08:08:30.763Z,
MLA1341348681,Amazon Fire Tv Stick Hd 8gb Hdr Dolby 1080p Control Voz Imp,72199,72199,,58,buy_it_now,gold_special,new,True,me2,True,True,xd_drop_off,False,CHACARITA,Capital Federal,Argentina,active,Garantía del vendedor: 3 meses,2023-02-09T19:38:57.000Z,2024-10-15T14:51:55.931Z,0.9
MLA1393687066,Chromecast Google Ga03131 Tv Hd 8gb 2gb Ram 60 Fps Wifi Bluetooth Hdmi 4ta Gen Blanco,134999,134999,,1897,buy_it_now,gold_pro,new,True,me2,False,True,xd_drop_off,False,Palermo,Capital Federal,Argentina,active,Garantía del vendedor: 6 meses,2023-04-12T13:10:55.000Z,2024-10-16T14:35:18.280Z,
